view	accepts text	produces text	html	json
upload				x
tags_autocomplete				
update_thread	x	x		x
create_comment	x	x		x
delete_thread		x		x
upvote_thread		x		x
downvote_thread		x		x
flag_abuse_for_thread		x		x
un_flag_abuse_for_thread		x		x
undo_vote_for_thread		x		x
pin_thread		x		x
un_pin_thread		x		x
follow_thread				x
unfollow_thread				x
openclose_thread		x		x
update_comment	x	x		x
endorse_comment		x		x
create_sub_comment	x	x		x
delete_comment		x		x
upvote_comment		x		x
downvote_comment		x		x
undo_vote_for_comment		x		x
flag_abuse_for_comment		x		x
un_flag_abuse_for_comment		x		x
create_thread	x			
search_similar_threads				
follow_commentable				x
unfollow_commentable				x
followed_threads		x	x	
user_profile		x	x	
single_thread		x	x	
inline_discussion		x		x
forum_form_discussion		x	x	
